k,MAE,PasP,PasN,NasN,NasP,MAP,MAR
2,0.7811017449482721,13419,2857,1971,1921,0.6415077087264749,0.6654444516570152
3,0.7595005780608358,13547,2729,2050,1842,0.6546320734037545,0.6795256453616028
4,0.7467163215954877,13609,2667,2051,1841,0.6577797624192139,0.6815587588911423
5,0.7389558348050923,13707,2569,2040,1852,0.6617907471404385,0.6831561714080618
6,0.7335579369711561,13773,2503,2036,1856,0.6649016758958,0.6846698219839323
