k,MAE,PasP,PasN,NasN,NasP,MAP,MAR
2,0.7484140635179768,13700,2576,1843,2049,0.643479592615147,0.6576328060888017
3,0.7255977620559382,13761,2515,1899,1993,0.6518572336028008,0.6667009754903657
4,0.7128525767149868,13834,2442,1926,1966,0.6582518430936153,0.6724121948798437
5,0.7007761423262241,13945,2331,1921,1971,0.6639748732586437,0.6751797803410188
6,0.6939466158126275,13980,2296,1902,1990,0.6642321253255046,0.6738140786742162
