k,MAE,PasP,PasN,NasN,NasP,MAP,MAR
2,0.7994263592667371,14378,1898,1453,2439,0.6442850484156631,0.628358244486109
3,0.7994263592667371,14378,1898,1453,2439,0.6442850484156631,0.628358244486109
4,0.7994263592667371,14377,1899,1453,2439,0.6442160580104412,0.6283275244074655
5,0.7994263592667371,14378,1898,1454,2438,0.6443949562753055,0.6284867131397575
6,0.7994263592667371,14377,1899,1453,2439,0.6442160580104412,0.6283275244074655
