k,MAE,PasP,PasN,NasN,NasP,MAP,MAR
2,0.7891635667684023,13746,2530,1882,2010,0.6494967336192438,0.66405620719869
3,0.7664779552584301,13733,2543,1967,1925,0.6566007784463869,0.6745766817364491
4,0.7517683127196072,13762,2514,2015,1877,0.6624450573099044,0.6816340593922362
5,0.7417571068613601,13851,2425,2008,1884,0.6666166546636426,0.6834688658159593
6,0.7357601967514907,13938,2338,2006,1886,0.6713001627478693,0.6858845753506383
